本文,GPT-2 対数尤度,BERT 交換評価値,BERT 散文評価値,季語,季題,切れ字,動詞数,動詞,名詞数,名詞,音数,距離1,類似句1,距離2,類似句2,距離3,類似句3
年男暮れてひとりの世界地図,-32.103466,0.10879659652709961,0.9999997019767761,年男,新年,,1,暮れ,4,"年男, ひとり, 世界, 地図",17,7,水音の暮れてひとりの大焚火,8,眠りとはひとりの世界明易し,8,啓蟄や改革前の世界地図
一日の疲れのしるし年男,-32.107353,0.991541862487793,0.9999996423721313,年男,新年,,1,しるし,4,"一, 日, 疲れ, 年男",17,6,一日の疲れ直しの梅酒かな,6,百日の疲れの見えし百日紅,6,一日の雨の明るき春隣
学校の路地つづきの年男,-32.108772,0.9868133068084717,0.9999993443489075,年男,新年,,0,,4,"学校, 路, 地つづき, 年男",17,6,落書の壁のつづきの烏瓜,6,夢殿の夢のつづきの松朧,6,夢殿の暮のつづきの松朧
人形を腰にまつはる年男,-32.124798,0.9427264928817749,0.9999996423721313,年男,新年,,1,まつはる,3,"人形, 腰, 年男",17,7,人形の髪にさしたる菫哉,7,人立を馬のまつてる清水哉,7,我庵や蠧にまじはる蟋蟀
しがらみに肩の凝りたる年男,-32.125393,0.9243940114974976,0.9999996423721313,年男,新年,,0,,4,"しがらみ, 肩, 凝り, 年男",17,8,雄鶏の木にのぼりたる斑雪,8,岩をみて肩の凝りたる紅すすき,8,しがらみに秋日たゆたふ夕かな
年男一人かくれし屋敷神,-32.129955,0.9678316712379456,0.9999997019767761,年男,新年,,1,くれ,3,"年男, 一人, 屋敷神",17,7,衣被一人に馴れし夕厨,8,ゆく春や雀かくれし樋の中,8,月光の創かくれなし蟻地獄
流木を踏んで出でたる年男,-32.130623,0.9867629408836365,0.9999997019767761,年男,新年,,2,"踏ん, 出で",2,"流木, 年男",17,7,蝙蝠の飛んで出でける扉哉,7,蓬生を飛んで出でけり時鳥,7,凩を拒んでゐたる杭頭
棟梁を叱られゐたる年男,-32.137012,0.9563902616500854,0.9999997019767761,年男,新年,,2,"叱ら, ゐ",2,"棟梁, 年男",17,6,松明に導かれたる年男,7,道草を叱られてをり草虱,7,凩を拒んでゐたる杭頭
一握の米も磨らざる年男,-32.137676,0.9738744497299194,0.9999997019767761,年男,新年,,1,磨ら,3,"一握, 米, 年男",17,7,一握の米の白さよ虫の声,8,一握の乳房が虜今日滅ぶ,8,一握の雪沈丁に日脚のぶ
ぽつぺんを吹く父を知る年男,-32.142204,0.9842107892036438,0.9999997019767761,年男,新年,,2,"吹く, 知る",4,"ぽつ, ぺん, 父, 年男",17,7,ぽつぺんを吹く良寛の貌をして,7,ぽつぺんを吹く翕然と淋しけれ,8,ぽつぺんを吹ける横顔美人かな
しわしわと喪服つけたる年男,-32.14484,0.9786971807479858,0.9999997019767761,年男,新年,,1,喪服つけ,3,"しわしわ, 喪服, 年男",17,7,しわしわと打つ柏手や山始,8,しわしわとたわみて風に花楓,8,可笑しさを絞り出したる年男
傘さして彌撒を待つ間の年男,-32.147366,0.9788343906402588,0.9999997019767761,年男,新年,,2,"傘さし, 待つ",4,"傘, 彌撒, 間, 年男",17,8,音のして次の音待つ冬の山,8,傘さして箱根越也春の雨,8,傘さして山吹提げて橋の上
夫婦して喧嘩買はざる年男,-32.155155,0.9911033511161804,0.9999997019767761,年男,新年,,2,"夫婦し, 買は",3,"夫婦, 喧嘩, 年男",17,8,夫婦して月の葎を素通りす,8,夫婦して買ひ物好きの年用意,8,化粧して己いつはる年忘れ
百僧の一弟子となる年男,-32.157894,0.9859095215797424,0.9999997019767761,年男,新年,,1,なる,5,"百, 僧, 一, 弟子, 年男",17,6,臘涙の一滴花となる霜夜,6,下京の一客となる麻衾,6,蝋涙の一滴花となる霜夜
年男寝巻の襟の正しかり,-32.15837,0.9769626259803772,0.9999996423721313,年男,新年,,1,しかり,4,"年男, 寝巻, 襟, 正",17,7,年賀客謡の中へ通しけり,7,初苺家族の数の匙ひかり,7,年忘一斗の酒を盡しけり
水門に馬の嘶く年男,-32.164467,0.9760798215866089,0.9999997019767761,年男,新年,,1,嘶く,3,"水門, 馬, 年男",17,5,船倉に馬の嘶く雁渡し,6,水門に少年の日の柳鮠,6,肩越に馬の覗くや鰒汁
天からも地からも雨か年男,-32.165524,0.9764162302017212,0.9999997019767761,年男,新年,,0,,4,"天, 地, 雨, 年男",17,6,上からも下からも声紅葉狩,7,布からも立臼からも雲雀哉,7,墓からも花桶からも雲雀哉
一日の旅笠きたる年男,-32.201443,0.12266290187835693,0.9999987483024597,年男,新年,,0,,6,"一, 日, 旅, 笠, き, 年男",17,6,松明に導かれたる年男,6,穂俵の先届きたる青畳,6,一年の風吹きわたる古暦
爪乾く指の先より年男,-32.210106,0.9909613728523254,0.9999997019767761,年男,新年,,1,乾く,4,"爪, 指, 先, 年男",17,6,人丸の筆の先より時鳥,7,引下す畚の中より雀哉,7,温泉湧く谷の底より初嵐
役者絵の女を前に年男,-32.2148,0.9795696139335632,0.9999996423721313,年男,新年,,0,,5,"役者, 絵, 女, 前, 年男",17,6,浮世絵の女房顔に更衣,6,天平の柱を前に霜柱,7,養蜂の林を裾に春祭
喉仏うしろを見せて年男,-32.230442,0.9788261651992798,0.9999997019767761,年男,新年,,1,見せ,3,"喉仏, うしろ, 年男",17,6,羽抜鶏うしろを見せて人嫌ふ,7,鴬のうしろ影見し冬至哉,7,踊笠うしろに脱ぎし汗男
人混みの風となりゆく年男,-32.235523,0.9540242552757263,0.9999997019767761,年男,新年,,2,"なり, ゆく",3,"人混み, 風, 年男",17,5,現し身の風となりゆく芒原,6,お湿りの音となりゆく桜餅,6,厄年の貌となりゆく寒詣
小説の余白のなかに年男,-32.26141,0.9831693768501282,0.9999996423721313,年男,新年,,0,,4,"小説, 余白, なか, 年男",17,7,小説の末の末なる墓参り,7,心經の心しづかに年籠,7,白梅の余白の余命我に在り
年男一人等しく通りけり,-32.26163,0.6465940475463867,0.9999996423721313,年男,新年,けり,1,通り,3,"年男, 一人, けり",17,6,炎天を一人悲しく歩きけり,6,春蝉に衿美しく坐りけり,6,淀の月頬被して通りけり
番長と呼ばれて来たる年男,-32.26671,0.9775099754333496,0.9999997019767761,年男,新年,,2,"呼ば, 来",2,"番長, 年男",17,7,落栗の流れて来たる筧哉,7,椿よと呼ばれていたい水溜り,7,紅涙と呼ばれて憎し鵙の贄
行商の秩父に来し年男,-32.274456,0.9760727882385254,0.9999997019767761,年男,新年,,1,来し,3,"行商, 秩父, 年男",17,6,山頂の磐座に来し初詣,7,房州の波を見に来つ年忘,7,山里の幟見て来よ京男
一塊の灰うつくしき年男,-32.28369,0.9835588932037354,0.9999997019767761,年男,新年,,1,うつ,3,"一塊, 灰, 年男",17,5,駅弁の箱うつくしき春隣,5,電燈の雨うつくしき桜哉,5,家持の海うつくしき秋桜
谷底へ水溜りゆく年男,-32.297974,0.823887288570404,0.9999997019767761,年男,新年,,1,水溜りゆく,3,"谷底, 水溜り, 年男",17,6,水底を水の翳ゆく桜蓼,7,裏山へ鎌光りゆく盆支度,7,水叱り水の先ゆく花筏
針山に孫と遊びて年男,-32.313763,0.9825946092605591,0.9999997019767761,年男,新年,,1,遊び,3,"針山, 孫, 年男",17,7,松明に導かれたる年男,7,漂へるものと遊びて鳰,7,草山に夜の風きて蕪汁
砲丸を首にかけたる年男,-32.31744,0.9832996129989624,0.9999995231628418,年男,新年,,1,かけ,3,"砲丸, 首, 年男",17,5,片足を船にかけたる薄衣,6,一年を菊にかけたる男かな,6,生涯を恋にかけたる桜かな
洛北の鐘を聴き居る年男,-32.32114,0.9831244349479675,0.9999996423721313,年男,新年,,2,"聴き, 居る",3,"洛北, 鐘, 年男",17,6,露霜の道を掃きをる寺男,6,芋虫の雨を聴き居る葉裏哉,6,百八の鐘を聴き居て悔多し
年男燦々として俳諧師,-32.32621,0.0008299350738525391,0.9999997019767761,年男,新年,,1,し,2,"年男, 俳諧",17,6,新年の直々として竹青し,6,年男交代をして豆拾ふ,6,湖や渺々として鳰一つ
奉納のリボンかけたる年男,-32.32684,0.9805070757865906,0.9999997019767761,年男,新年,,1,リボンかけ,3,"奉納, リボン, 年男",17,7,古稀過ぎの貌煤けたる年男,7,夜の秋や轡かけたる厩柱,7,花守の烏帽子かけたる桜哉
年男主峰より火を放ちけり,-32.3288,0.11976200342178345,0.9999997019767761,年男,新年,けり,1,放ち,4,"年男, 主峰, 火, けり",17,7,瘤爺の山焼く火をぞ放ちけり,7,荒城は穂草の風を放ちけり,7,金屏に若葉の窓を放ちけり
人陰を通り抜けたる年男,-32.33324,0.9925299882888794,0.9999997019767761,年男,新年,,1,通り抜け,2,"人陰, 年男",17,6,花街を通り抜けゆく懐手,6,懐を通り抜たる蛍かな,6,蜻蛉の通り抜けたる大広間
遠目にも青空光る年男,-32.33873,0.9652941823005676,0.9999997019767761,年男,新年,,1,光る,3,"遠目, 青空, 年男",17,6,松明に導かれたる年男,7,遠目にも切口白き年木かな,7,内陣に仏の光る寒哉
柴門を出つ入りつして年男,-32.34059,0.9868838787078857,0.9999997019767761,年男,新年,,2,"出, し",3,"柴門, 入り, 年男",17,5,松原を出つ入りつして月見哉,7,正門を出入り勤む八月は,7,裏門を出入り表の溝浚へ
痩臑を撫でて老の年男,-32.35302,0.9834710359573364,0.9999997019767761,年男,新年,,1,撫で,4,"痩, 臑, 老, 年男",17,7,蒟蒻を搗いて女の倖か,7,大厄を残して夫の新走,7,鮠串を焙りて杣の年用意
小包を耳にあづけて年男,-32.363487,0.9667640328407288,0.9999996423721313,年男,新年,,1,あづけ,3,"小包, 耳, 年男",17,6,潮騒に耳をあづけて磯遊,6,盆蝉に耳をあづけて盆休,7,啓蟄や幹にあづけし草箒
年男入口なくて老いにけり,-32.376446,0.9933104515075684,0.9999997019767761,年男,新年,けり,0,,4,"年男, 入口, 老い, けり",17,6,地獄谷くらく鴬老いにけり,6,地獄谷くらく鶯老いにけり,6,暖き山畑にゐて老いにけり
海鳴りの夜空見てゐる年男,-32.379826,0.9861224293708801,0.9999997019767761,年男,新年,,2,"夜空見, ゐる",3,"海鳴り, 夜空, 年男",17,6,海鳴りの町へ来てゐる猿回し,7,海鳴りや父の捨てたる鰊唄,7,漁止めの海を見てゐる懐手
先生と呼んでいただく年男,-32.382298,0.9671021699905396,0.9999995231628418,年男,新年,,2,"呼ん, いただく",2,"先生, 年男",17,7,戦争と並んでいたり露の玉,8,先生と呼べば仰臥の菊人形,8,退庁の帽をいただく花曇
野を焼いて火を起こしたる年男,-32.39405,0.9906924962997437,0.9999997019767761,年男,新年,,2,"焼い, 起こし",3,"野, 火, 年男",17,7,野を焼いて大空の端汚したる,8,蚊を焼いて蝋落したる畳かな,9,野を焼いて渤海の波近うせり
火の色を覚えし顔の年男,-32.39811,0.9892511367797852,0.9999997019767761,年男,新年,,2,"覚え, し",4,"火, 色, 顔, 年男",17,7,山の名を覚えし頃は雪の来し,7,火の窯を懐にして山眠る,7,火の色に恥甦る霧の中
山寺の鐘うつて撞く年男,-32.408295,0.9784990549087524,0.9999997019767761,年男,新年,,2,"うつ, 撞く",3,"山寺, 鐘, 年男",17,7,山寺や高々つみてお年玉,7,山里の幟見て来よ京男,8,山寺や門を出て行時鳥
川沿ひに褒められてゐる年男,-32.408615,0.9757102131843567,0.9999997019767761,年男,新年,,2,"褒め, ゐる",2,"川沿ひ, 年男",17,7,鴬に降り籠められてゐる庵,7,風呂敷を褒められてゐる山の芋,7,風鈴に慰められてゐるやうな
百歳を翁にしたる年男,-32.410973,0.9861083626747131,0.9999997019767761,年男,新年,,1,し,3,"百, 翁, 年男",17,6,松明に導かれたる年男,6,大帳を枕にしたる暑かな,7,可笑しさを絞り出したる年男
人の手のうごきそめたる年男,-32.41339,0.9768759608268738,0.9999997019767761,年男,新年,,1,そめ,4,"人, 手, うごき, 年男",17,7,二人の目に芽吹きそめたる大柳,7,春色のうごきそめたる棚田かな,8,トロ一つうごきそめたる露野かな
年男坊主つるして通りけり,-32.419388,0.9880803227424622,0.9999987483024597,年男,新年,けり,1,つるし,4,"年男, 坊主, 通り, けり",17,6,年の市叺かぶつて通りけり,6,淀の月頬被して通りけり,6,ちる桜犬に詫して通りけり
甲板に顔浸けてゐる年男,-32.42126,0.9846819043159485,0.9999997019767761,年男,新年,,2,"浸け, ゐる",3,"甲板, 顔, 年男",17,7,松明に導かれたる年男,7,甲板に出て星を見る寒哉,7,蟷螂に睨まれてゐる立話
国宝の塔にも余る年男,-32.42902,0.9754066467285156,0.9999997019767761,年男,新年,,1,余る,3,"国宝, 塔, 年男",17,6,国宝の仏に煤の箒あつ,6,国宝の塔を栖に雀の子,6,旦暮の梅にも恥る柱哉
窯元の火の匂ひたつ年男,-32.434555,0.9661706686019897,0.9999997019767761,年男,新年,,2,"匂ひ, たつ",3,"窯元, 火, 年男",17,7,大榾の火の粉柱や年籠,7,杉玉の杉匂ひたつ春の雪,7,大川の水の匂ひや鳥曇
菩提樹に窓開け放ち年男,-32.43519,0.9898585081100464,0.9999997019767761,年男,新年,,1,開け放ち,3,"菩提, 窓, 年男",17,6,草原に窓開け放ち桃葉湯,6,憂心に窓開け放ち大花野,7,春の野に窓開け放つ司祭館
入相やむかしに似たる年男,-32.440083,0.9783098101615906,0.9999997019767761,年男,新年,や,1,似,3,"入相, むかし, 年男",17,7,潮煮やむかしをくぐる桜鯛,7,攝待やむすびにしたる今年米,7,芋虫や故郷に似たる草嵐
下駄履いて隣を借りて年男,-32.442936,0.9914945960044861,0.9999996423721313,年男,新年,,2,"履い, 借り",3,"下駄, 隣, 年男",17,8,下駄はいて細縄渡る日傘哉,8,秋の爪船の鋏を借りてつむ,8,下駄履いて丈高きかな猿廻し
年男法然院を外れたる,-32.446327,0.974929928779602,0.9999997019767761,年男,新年,,1,外れ,2,"年男, 法然",17,6,大年の法然院に笹子ゐる,7,筍や雨雲朱を含みたる,7,水仙や隣人道を外れ走る
会心の髪結い直す年男,-32.446762,0.9553313851356506,0.9999997019767761,年男,新年,,1,結い直す,3,"会心, 髪, 年男",17,7,三峯の神の雪踏み年男,8,橿原の宮の太箸今年又,8,遠雷の火柱穴を掘る男
硝子戸を今閉ざしたり年男,-32.45408,0.9859817624092102,0.9999997019767761,年男,新年,,1,閉ざし,4,"硝子, 戸, 今, 年男",17,8,海鳴りを力としたり弓始,8,硝子戸も障子も閉ざし菜種梅雨,8,月の夜を思ひ出しけり年忘
年男老いゆく道の濃紫,-32.454365,0.9812412858009338,0.9999997019767761,年男,新年,,2,"老い, ゆく",3,"年男, 道, 濃紫",17,6,漆頭老いゆく盆の月明り,6,膝頭老いゆく盆の月明り,7,長男という泪目の兜虫
大鍋に鯛を煮つます年男,-32.45475,0.9797883629798889,0.9999996423721313,年男,新年,,1,煮,4,"大鍋, 鯛, ます, 年男",17,7,大鍋に鯛を蒸しゐる十二月,7,大鍋に空を映して芋煮会,7,大鍋に山女煮上げて盆迎
本堂の裏にも咲きて年男,-32.462097,0.9486249685287476,0.9999996423721313,年男,新年,,1,咲き,3,"本堂, 裏, 年男",17,7,本堂の裏にぐつたり秋遍路,7,本堂の上に鶏なく雪げ哉,7,神風の伊勢に生れて年男
侍の脛細り行く年男,-32.463512,0.9820342063903809,0.9999997019767761,行く年,仲冬,,2,"細り, 行く",3,"侍, 脛, 年男",17,7,囀の左移りや右移り,7,馬市の馬帰りゆく芒原,7,六月の京より届く床柱
笛吹や精進落る年男,-32.483765,0.3066900372505188,0.9999997019767761,年男,新年,や,0,,4,"笛吹, 精進, 落, 年男",17,5,煮凍や精進落る鐘の声,6,馬方や恋を罵る年忘,7,春風や逢坂越る女講
夕飯は雨の中なり年男,-32.48515,0.983027994632721,0.9999996423721313,年男,新年,,0,,4,"夕飯, 雨, 中, 年男",17,5,住吉は松の中なり青嵐,5,お噺も芸の中なり年忘,6,大山は霧の中なり能舞台
海鳴りを聴くまなざしの年男,-32.490086,0.9684349894523621,0.9999997019767761,年男,新年,,1,聴く,3,"海鳴り, まなざし, 年男",17,8,海鳴りを告げる人亡し藪椿,8,海鳴りを聞く人は聞く冬座敷,8,羽子板の絵のまなざしの昔今
門番が提灯ともす年男,-32.49177,0.9683964252471924,0.9999997019767761,年男,新年,,1,ともす,3,"門番, 提灯, 年男",17,6,凩の中に灯ともす都哉,7,節分の提灯下げて寺男,7,初鐘や提灯ともる楼の上
死ぬときも母を思へり年男,-32.507442,0.9943267107009888,0.9999997019767761,年男,新年,,2,"死ぬ, 思へ",3,"とき, 母, 年男",17,7,死ぬときも九文半吾亦紅,7,死ぬときも翼広げて檻の鷲,8,死ぬるにも力を要す春の霜
品川に銀座通ひの年男,-32.51856,0.979046106338501,0.9999996423721313,年男,新年,,1,通ひ,3,"品川, 銀座, 年男",17,7,松明に導かれたる年男,7,品川に育ち品川祭かな,7,冬川に塞がる程の芥船
竹筒に湯気立ち上り年男,-32.51996,0.9789644479751587,0.9999997019767761,年男,新年,,1,立ち上り,3,"竹筒, 湯気, 年男",17,7,抽斗に臭気満ちたり日雷,7,用のある時立ち上り冬籠,7,大釜の湯気立ち上る栗の花
年男さびしがられて休みけり,-32.532864,0.9891812205314636,0.9999996423721313,年男,新年,けり,1,休み,2,"年男, けり",17,7,出代の酒しゐられて泣にけり,7,大男と祭りが晴れて別れけり,7,蕣のうるさがられて咲にけり
板木打つ音ひびき合ふ年男,-32.542263,0.9795306921005249,0.9999997019767761,年男,新年,,3,"打つ, ひびき, 合ふ",3,"板木, 音, 年男",17,8,高原の風ひびき合ふ草雲雀,8,炎天は打楽器ひびき合ふごとし,8,己れ打つ音ひたすらに鉦叩
もの言はぬこだはりもなし年男,-32.546803,0.987651526927948,0.9999997019767761,年男,新年,,1,言は,4,"もの, こだはり, なし, 年男",17,8,もの言はぬ日は友であり寒鴉,8,もの言はぬこころの曇り梅若忌,8,もの言はぬことも養生草の花
傾城の世話もやつれぬ年男,-32.557552,0.9652285575866699,0.9999996423721313,年男,新年,,1,やつれ,3,"傾城, 世話, 年男",17,8,傾城の昼寝はあつし金屏風,8,贋作の我かもしれぬ初鏡,8,百両の鶯もやれ老を鳴
忘却は父にもありて年男,-32.565975,0.9892711639404297,0.9999997019767761,年男,新年,,1,あり,3,"忘却, 父, 年男",17,6,歳月は水にもありて冬紅葉,6,執着は僧にもありて百日紅,7,志高きにありて秋簾
恙なき女に生まれ年男,-32.56624,0.9853742718696594,0.9999997019767761,年男,新年,,2,"き, 生まれ",2,"女, 年男",17,7,尾の長き鳥に生まれむ春心,7,朝市の薦に包まれ猫柳,7,金印の島に生まれて弓始
裏山に日の沈み行く年男,-32.569115,0.9636824131011963,0.9999997019767761,行く年,仲冬,,1,沈み行く,3,"裏山, 日, 年男",17,6,噴煙に日の沈みゆく達磨市,7,四阿に日の影動く若楓,7,裏山に風の荒れゐる霜囲
余生なほなぐさまんとす年男,-32.569214,0.986356258392334,0.9999997019767761,年男,新年,,1,なぐさま,2,"余生, 年男",17,8,余生なほなすことあらむ冬苺,8,余生なほ働かされて目刺焼く,9,生なほなすことあらむ冬苺
きのふよりけふうしろより年男,-32.574894,0.9427516460418701,0.9999997019767761,年男,新年,,0,,4,"きのふ, けふ, うしろ, 年男",17,7,きのふよりけふのあしたの柳の芽,8,きのふより母訪ふこころ初氷,8,きのふよりけふの色美し濃紫陽花
山寺に水貰ひゐる年男,-32.579468,0.990811824798584,0.9999997019767761,年男,新年,,2,"水貰ひ, ゐる",3,"山寺, 水, 年男",17,6,松明に導かれたる年男,6,唐寺に唐の人ゐる秋燕,6,夕顔に牛洗ひゐる娘哉
いろいろの辻褄あはせ年男,-32.58555,0.962684690952301,0.9999997019767761,年男,新年,,1,あは,2,"辻褄, 年男",17,7,いろいろの秋や小錦唐辛子,8,いろいろの猫が顔出す半夏生,8,いろいろの雲流れくる松手入
薙刀で叩いてみたる年男,-32.596325,0.9404993057250977,0.9999997019767761,年男,新年,,2,"叩い, み",2,"薙刀, 年男",17,7,松明に導かれたる年男,7,太宰忌や叩いてみたる夜の壁,7,骸骨を叩いて見たる菫かな
年男猫に縋りて歩きけり,-32.601067,0.9894463419914246,0.9999991059303284,年男,新年,けり,2,"縋り, 歩き",3,"年男, 猫, けり",17,6,笋の木に交りて曲りけり,6,芋嵐猫が髯張り歩きけり,6,凩に面を上げて歩きけり
年男一人のために時計鳴る,-32.609966,0.9738077521324158,0.9999996423721313,年男,新年,,1,鳴る,4,"年男, 一人, ため, 時計",17,7,葡萄棚露ぼた~と時計鳴る,7,女正月電話の中に時計鳴る,7,睡蓮の一花のために水に寄る
年男老いて亡き子に逢ひにゆく,-32.61225,0.9929919242858887,0.9999997019767761,年男,新年,,3,"老い, 逢ひ, ゆく",2,"年男, 子",17,8,花冷のちがふ乳房に逢ひにゆく,8,賀茂祭見て弁護士に会ひにゆく,8,白芙蓉その明るさに逢ひにゆく
水笛の音の高まる年男,-32.615753,0.9745115637779236,0.9999997019767761,年男,新年,,1,高まる,4,"水, 笛, 音, 年男",17,6,三峯の神の雪踏み年男,6,豆殻の音の加はる初竃,6,水際の水の側なる魂迎
石臼に飛び移りたる年男,-32.61979,0.9686238169670105,0.9999996423721313,年男,新年,,1,飛び移り,2,"石臼, 年男",17,6,松明に導かれたる年男,7,細枝にとびおもりたる寒雀,7,畦道に日の残りたる蛇苺
百姓の馬の鼻息年男,-32.62766,0.764578640460968,0.9999996423721313,年男,新年,,0,,4,"百姓, 馬, 鼻息, 年男",17,5,漣は馬の鼻息心太,6,百幹の峠の冬木夕茜,6,百姓の手足短し盆踊
下駄ついて二階へ上る年男,-32.630768,0.9895772337913513,0.9999996423721313,年男,新年,,2,"つい, 上る",4,"下駄, 二, 階, 年男",17,8,取りついて波引ち切る柳哉,8,とりつきて蕣上る柳哉,8,下駄はいて畠歩くや兄方詣
拍子木に傘さして行く年男,-32.642345,0.9849321842193604,0.9999997019767761,行く年,仲冬,,2,"傘さし, 行く",4,"拍子, 木, 傘, 年男",17,7,厠には傘さしてゆく鯰鍋,7,雛棚に糞をして行く雀哉,7,天子岳に牛牽いてゆく雪男
制服の赤揃へたる年男,-32.643932,0.9804920554161072,0.9999997019767761,年男,新年,,1,揃へ,3,"制服, 赤, 年男",17,6,松明に導かれたる年男,7,敦盛の鎧に似たる桜哉,7,楢櫟枝を交へたる雪催
鍵穴を覗いて雨の年男,-32.649628,0.9780128002166748,0.9999997019767761,年男,新年,,1,覗い,3,"鍵穴, 雨, 年男",17,6,蒟蒻を搗いて女の倖か,7,古庭を歩いて孕雀かな,7,空漠を用いて白し夏枕
山川の石に縋りて年男,-32.650238,0.9882433414459229,0.9999997019767761,年男,新年,,1,縋り,3,"山川, 石, 年男",17,6,冬川の底に写りて魚の渦,6,夏萩の花に縋りて子蟷螂,6,神灯の色に染りて鏡餅
帰り来て喧嘩買ひけり年男,-32.652924,0.9875747561454773,0.9999997019767761,年男,新年,けり,2,"帰り来, 買ひ",3,"喧嘩, けり, 年男",17,8,聞に出て行き違ひけり鵑,8,帰り来て駅より低き寒の町,8,帰りきて冷茶飲みけり寒念佛
年男老いゆくごとし雨の中,-32.657276,0.9914186596870422,0.9999997019767761,年男,新年,,2,"老い, ゆく",3,"年男, 雨, 中",17,7,嘘うそと囁くごとし秋の風,7,塔影は傾くごとし春の土,8,年一ツ老いゆく宵の化粧かな
年男机置きたる部屋匂ふ,-32.664787,0.9827917814254761,0.9999997019767761,年男,新年,,2,"机置き, 匂ふ",3,"年男, 机, 部屋",17,7,干草に置きたる露や稲光,7,年男まだ屯せる幕屋の灯,7,折紙を置きたる如く落椿
片袖に羽織ぬぎたる年男,-32.668438,0.9840482473373413,0.9999969005584717,年男,新年,,0,,4,"片袖, 羽織, ぬぎ, 年男",17,6,松明に導かれたる年男,7,お降や袴ぬぎたる静心,7,河骨に衣をぬぎたる蜻蜒哉
石臼に呼び出されたる年男,-32.675423,0.973021924495697,0.9999997019767761,年男,新年,,1,呼び出さ,2,"石臼, 年男",17,6,松明に導かれたる年男,7,瓜の香にむし出されたる狗哉,7,駒鳥に呼びこまれたる客二人
城山に雲吹き入れる年男,-32.683914,0.9601653814315796,0.9999997019767761,年男,新年,,1,吹き入れる,3,"城山, 雲, 年男",17,6,魂棚に風吹き入れて泉川,7,前山に雲居てかげる庭芒,7,松明に導かれたる年男
一徹の速達届く年男,-32.707943,0.024213552474975586,0.9999997019767761,年男,新年,,1,届く,3,"一徹, 速達, 年男",17,6,一徹の緑存しぬ枯蓮,6,縁側に速達届く梅の花,7,一銭の釣鐘撞くや昼霞
地球儀を塀に置きたる年男,-32.708233,0.9833966493606567,0.9999997019767761,年男,新年,,1,置き,3,"地球, 塀, 年男",17,7,曲水や草に置きたる小盃,7,尾道や石に置きたる落椿,7,瑞牆山を空に置きたる菫かな
硝子戸の通りぬけたる年男,-32.70932,0.9669254422187805,0.9999997019767761,年男,新年,,1,通りぬけ,4,"硝子, 戸, 通り, 年男",17,6,山姥の通りぬけたる踊の灯,7,古稀過ぎの貌煤けたる年男,7,郭公の翔りぬけたる桐の花
睾丸の夫婦仲良し年男,-32.710438,0.007336616516113281,0.9999973177909851,年男,新年,,0,,4,"睾丸, 夫婦, 仲良し, 年男",17,6,睾丸の精神赭し大旦,7,分校の夫婦先生歳木樵,7,三峯の神の雪踏み年男
骨折て人形つくる年男,-32.71293,0.9779276847839355,0.9999997019767761,年男,新年,,1,つくる,3,"骨折, 人形, 年男",17,7,骨折て落る時見る雲雀哉,7,頤で人を数ふる年忘,7,松明に導かれたる年男
壺焼や袂重ねて年男,-32.714924,0.9859737753868103,0.9999997019767761,年男,新年,や,1,重ね,3,"壺焼, 袂, 年男",17,6,夏服や齢重ねし宮仕,7,鉦叩音を重ねて急に雨,7,雪晴や猫舌にして大男
倦怠や小便するも年男,-32.72225,0.9670460224151611,0.9999997019767761,年男,新年,や,1,小便する,3,"倦怠, 小便, 年男",17,7,白魚や紅見する花の陰,7,馬方や恋を罵る年忘,7,相対の小便するや近松忌
音立てて袴つけ行く年男,-32.724667,0.9857190847396851,0.9999996423721313,行く年,仲冬,,3,"立て, 袴つけ, 行く",3,"音, 袴, 年男",17,7,音立てて干菜の乾く山の晝,8,角立てて翔ぶ満月の兜虫,8,音立てて落葉の上の春落葉
暮れてゆく鳥を見てゐる年男,-32.731365,0.9860644936561584,0.9999997019767761,年男,新年,,4,"暮れ, ゆく, 見, ゐる",2,"鳥, 年男",17,5,暮れてゆく山を見てをり秋扇,7,流れゆく水を見てゐて花疲れ,7,濡れてゆく石を見て待つ鮎料理
思ひ出の父を連れたる年男,-32.731735,0.9864051938056946,0.9999997019767761,年男,新年,,1,連れ,3,"思ひ出, 父, 年男",17,7,夏痩の頬を流れたる冠紐,7,大勢の子供連れたる初詣,7,藪入の供を連たる都哉
甲斐駒の富士の裾曳く年男,-32.734905,0.9650453329086304,0.9999997019767761,年男,新年,,1,曳く,4,"甲斐駒, 富士, 裾, 年男",17,8,甲斐駒の雲に雷をり早苗採,8,甲斐駒の一巌や辛夷咲く,8,裏窓に富士の裾曳く雛まつり
解禁の書肆に集まる年男,-32.736977,0.9826392531394958,0.9999997019767761,年男,新年,,1,集まる,3,"解禁, 書肆, 年男",17,6,瓢箪の尻に集まる雨雫,7,枯蓮の日に温まる古鴉,7,神風の伊勢に生れて年男
浅草に勤めて来たり年男,-32.73848,0.9875323176383972,0.9999996423721313,年男,新年,,2,"勤め, 来",2,"浅草, 年男",17,7,折角に忘れて居たを年忘,7,狗がこかして来たり赤李,7,浅草に来て顔剃りぬ年の暮
電柱に身をもたしたる年男,-32.742523,0.9814082980155945,0.9999997019767761,年男,新年,,1,もたし,3,"電柱, 身, 年男",17,6,青嵐柱に背をもたせたる,7,錦繍に身を包みたる熱哉,7,蟷螂に身をかはしたる螽かな
